  0  +0 +0 +0 +.34545478789037E-07
  1  +0 +0 +0 +.82786727845750E-07
  2  +0 +0 +0 +.33306349200056E-07
  3  +0 +0 +0 +.21053024592150E-07
  4  +0 +0 +0 +.92855379923437E-08
  5  +0 +0 +0 +.55970941062606E-08
  6  +0 +0 +0 +.32678743419875E-08
  7  +0 +0 +0 +.17713452278931E-08
  8  +0 +0 +0 +.10835908134087E-08
  9  +0 +0 +0 +.68600313539775E-09
 10  +0 +0 +0 +.36860968329875E-09
 11  +0 +0 +0 +.20582547765900E-09
 12  +0 +0 +0 +.12655633206082E-09
 13  +0 +0 +0 +.71650300322725E-10
 14  +0 +0 +0 +.48667366669831E-10
 15  +0 +0 +0 +.23485447952295E-10
 16  +0 +0 +0 +.13805641751371E-10
 17  +0 +0 +0 +.75994823554881E-11
 18  +0 +0 +0 +.60460225811405E-11
 19  +0 +0 +0 +.50220986838882E-11
 20  +0 +0 +0 +.51221181977143E-11
 21  +0 +0 +0 +.42059846021822E-11
 22  +0 +0 +0 +.20876333410619E-11
 23  +0 +0 +0 +.94637799020994E-12
 24  +0 +0 +0 +.64783580328312E-13
 25  +0 +0 +0 -.84175742283187E-12
 26  +0 +0 +0 -.79865055516125E-12
 27  +0 +0 +0 -.73961661993125E-13
 28  +0 +0 +0 -.23208446439000E-13
 29  +0 +0 +0 -.20610697016869E-12
 30  +0 +0 +0 -.23439792567153E-12
 31  +0 +0 +0 -.21487396757488E-12
 32  +0 +0 +0 -.32572349922875E-12
 33  +0 +0 +0 -.15934639430112E-12
 34  +0 +0 +0 -.29921236852752E-12
 35  +0 +0 +0 -.25966612468694E-12
 36  +0 +0 +0 -.40252667945363E-12
 37  +0 +0 +0 -.54209803716012E-12
 38  +0 +0 +0 -.55650720151625E-12
 39  +0 +0 +0 -.66971782167937E-12
 40  +0 +0 +0 -.44371151856419E-12
 41  +0 +0 +0 -.19058999278369E-12
 42  +0 +0 +0 -.25916359827812E-12
 43  +0 +0 +0 -.38039168177344E-12
 44  +0 +0 +0 -.41549883940450E-12
 45  +0 +0 +0 -.10013124378244E-11
 46  +0 +0 +0 +.51134435979391E-12
 47  +0 +0 +0 -.13031438350531E-11
 48  +0 +0 +0 +.20071508964625E-12
 49  +0 +0 +0 -.67375025782000E-12
 50  +0 +0 +0 -.24016180172313E-11
 51  +0 +0 +0 -.46214082221250E-11
 52  +0 +0 +0 -.28822727178125E-12
 53  +0 +0 +0 +.33006429146250E-11
 54  +0 +0 +0 +.53012521251250E-11
 55  +0 +0 +0 -.20493625708000E-10
 56  +0 +0 +0 -.34140786838813E-10
 57  +0 +0 +0 +.63699042906250E-11
 58  +0 +0 +0 -.22929197775000E-10
 59  +0 +0 +0 -.34274529238937E-09
 60  +0 +0 +0 -.10240133446063E-08
 61  +0 +0 +0 -.36825500761250E-08
 62  +0 +0 +0 -.80275336040688E-08
 63  +0 +0 +0 -.29321700246875E-07
  0  +0 +0 +0 +.42203708825662E-07
  1  +0 +0 +0 +.80729921088938E-07
  2  +0 +0 +0 +.33122830210250E-07
  3  +0 +0 +0 +.17681560198637E-07
  4  +0 +0 +0 +.92617928479437E-08
  5  +0 +0 +0 +.69548507396000E-08
  6  +0 +0 +0 +.45341300375500E-08
  7  +0 +0 +0 +.20145822900081E-08
  8  +0 +0 +0 +.12247809756275E-08
  9  +0 +0 +0 +.72247872705437E-09
 10  +0 +0 +0 +.46973372715500E-09
 11  +0 +0 +0 +.23411881527366E-09
 12  +0 +0 +0 +.14806758475938E-09
 13  +0 +0 +0 +.94450109863637E-10
 14  +0 +0 +0 +.57880593728525E-10
 15  +0 +0 +0 +.41025494087081E-10
 16  +0 +0 +0 +.20709980708442E-10
 17  +0 +0 +0 +.12539021586362E-10
 18  +0 +0 +0 +.76329117229325E-11
 19  +0 +0 +0 +.43241532967944E-11
 20  +0 +0 +0 +.13675412953387E-11
 21  +0 +0 +0 +.15179635907787E-11
 22  +0 +0 +0 +.29877074649577E-11
 23  +0 +0 +0 +.16486264118031E-11
 24  +0 +0 +0 +.93360402241688E-12
 25  +0 +0 +0 +.15757968314519E-12
 26  +0 +0 +0 -.43946630802919E-12
